year,global_total_co2,global_percapital_co2_weighted
1750,55.836,0.02316129589556733
1751,56.442,
1752,57.03,
1753,57.66,
1754,58.403999999999996,
1755,58.757999999999996,
1756,59.46,
1757,60.56399999999999,
1758,61.29599999999999,
1759,62.034000000000006,
1760,63.083999999999996,0.02512136329031847
1761,64.488,
1762,65.712,
1763,67.152,
1764,68.382,
1765,69.858,
1766,71.256,
1767,72.918,
1768,74.802,
1769,76.67999999999999,
1770,78.582,0.029904601086965157
1771,80.214,
1772,81.744,
1773,82.848,
1774,84.072,
1775,86.034,
1776,87.924,
1777,89.76,
1778,91.458,
1779,93.21000000000001,
1780,95.274,0.03355673385257268
1781,97.40400000000001,
1782,99.48599999999999,
1783,102.37799999999999,
1784,104.826,
1785,107.786,
1786,110.68199999999999,
1787,113.15,
1788,115.71600000000001,
1789,119.178,
1790,122.38399999999999,0.04077131469536521
1791,125.588,
1792,131.574,
1793,133.782,
1794,135.11599999999999,
1795,133.89,
1796,132.726,
1797,132.538,
1798,138.632,
1799,164.91,
1800,196.281,0.058375210577059786
1801,191.378,0.05676684972819046
1802,241.27800000000002,0.07413958346572441
1803,176.635,0.05220548899586854
1804,189.944,0.056256739708734016
1805,186.826,0.05473038519949451
1806,195.558,0.057298937710014465
1807,216.44600000000003,0.06371150247080358
1808,212.2,0.06148711992723645
1809,217.193,0.0627825867492412
1810,236.112,0.06785459357962342
1811,240.16,0.06838897696205548
1812,243.913,0.06919298882083852
1813,246.187,0.06914873417358164
1814,252.22899999999998,0.07009895246702938
1815,260.31399999999996,0.07194004373682082
1816,271.644,0.07528923576802721
1817,294.212,0.08109789115768162
1818,306.784,0.0839658604861674
1819,304.046,0.08232980733771236
1820,302.799,0.08193767335355104
1821,310.688,0.08313116202365109
1822,322.389,0.08595363025093346
1823,336.331,0.08920960711213236
1824,343.461,0.09042313232351269
1825,362.105,0.09488225958219855
1826,365.646,0.09512341033835087
1827,391.524,0.10197079684471366
1828,396.892,0.10249218772933605
1829,394.236,0.1006850207909246
1830,529.735,0.10276100204256233
1831,494.966,0.09497787285846669
1832,486.476,0.09335224188532219
1833,492.408,0.09466928156742725
1834,525.7850000000001,0.13187404315939644
1835,575.724,0.14391127434727424
1836,631.863,0.15717305110164873
1837,626.531,0.15592616168302476
1838,624.954,0.1555386222306867
1839,646.811,0.15984347157590315
1840,701.009,0.17279682028121746
1841,720.454,0.17762083241065107
1842,762.369,0.1871989501556395
1843,778.606,0.18983276225261822
1844,833.063,0.20113592479093534
1845,907.884,0.21940278290247808
1846,920.553,0.2233877227857053
1847,994.37,0.24086631149263374
1848,1007.98,0.24142970277648518
1849,1073.414,0.2557528614135568
1850,1534.711,0.2080237953454802
1851,1540.458,0.2732880369884637
1852,1606.519,0.28615899084113466
1853,1676.932,0.2996787529930245
1854,1973.49,0.3508574212941576
1855,2004.83,0.27639247968391717
1856,2143.613,0.32756657986904064
1857,2164.328,0.3312829330473232
1858,2197.011,0.28393204758638113
1859,2325.469,0.2982394804006341
1860,2558.188,0.3231593312619581
1861,2697.123,0.3397596500527477
1862,2747.315,0.3469821695085315
1863,2920.873,0.3679155795000089
1864,3151.991,0.39537669560891053
1865,3353.434,0.41790965979460715
1866,3464.021,0.4297708979408893
1867,3691.409,0.4841971837859032
1868,3781.437,0.4931283592652733
1869,4001.233,0.5198367548318812
1870,4082.122,0.5267359797228377
1871,4341.468,0.5569763832420398
1872,4782.319,0.613701913413334
1873,5071.032999999999,0.6486511620265941
1874,4745.026,0.6012221704580387
1875,5160.852,0.6507612606158382
1876,5243.035,0.6583167109609945
1877,5321.645,0.6641594709670404
1878,5367.802,0.632879819955604
1879,5704.889,0.6719221114860819
1880,6441.065,0.7561786933203336
1881,6655.351,0.7747182304439906
1882,7001.331,0.8121339879854246
1883,7437.982,0.8568256936901463
1884,7501.582,0.8388618588767315
1885,7553.253,0.8377818403718701
1886,7645.696,0.8442476410421695
1887,8010.7080000000005,0.8790993319559948
1888,8805.639,0.9630635500450957
1889,8883.859,0.9558026155268243
1890,9593.019,1.027558987105833
1891,10032.063,1.0678923105932305
1892,10071.484,1.0633410429642864
1893,9920.993,1.0454952250624558
1894,10363.185,1.0770181224394153
1895,10916.408,1.130152854184326
1896,11302.632,1.1619945288343998
1897,11841.929,1.2094942522851935
1898,12446.714,1.2655760293321971
1899,13537.592,1.3678729479259442
1900,14246.018,1.4298317256248105
1901,14610.522,1.4596925697879926
1902,14923.063,1.4789652696907944
1903,16152.777,1.5953811893776995
1904,16364.045,1.600013789822137
1905,17344.148,1.6633781433065278
1906,18085.32,1.7414414439766834
1907,20527.126,1.8495451035390518
1908,19891.81,1.7714107113076893
1909,20595.948,1.798719716383169
1910,21502.843,1.8684032752594169
1911,21874.46,1.8792709953465134
1912,22944.722,1.9646289717788399
1913,24862.182,2.112011086005308
1914,22502.743,1.8983992289303844
1915,22032.597,1.841918915793535
1916,23709.147,1.9711935477477132
1917,24618.17,2.0698994224784246
1918,24044.21,1.9937190502143667
1919,20838.816,1.704411361114587
1920,24314.393,1.977705871935947
1921,21491.119,1.7409878147959987
1922,22669.46,1.8075142639737845
1923,25195.904,2.0044225774162676
1924,25677.928,2.014889164533698
1925,25786.03,2.010713239902332
1926,24979.595,1.9567939061883193
1927,27725.245,2.118241008800548
1928,27649.170000000002,2.0892803707499805
1929,29699.564000000002,2.224199057041216
1930,27516.892,2.0309525856470025
1931,24741.863,1.7959202659121347
1932,22432.117,1.6022303412824304
1933,23566.793,1.6665576608208128
1934,25658.562,1.7931909579043912
1935,26922.757999999998,1.861885526421082
1936,29410.157,2.015580143551643
1937,31498.006,2.138995514010005
1938,29920.664,2.0004261484015884
1939,31477.038,2.089806160494028
1940,34287.828,2.255911212985428
1941,34806.681000000004,2.2835347282274365
1942,34365.184,2.269033000454299
1943,34982.665,2.2858972631791823
1944,35312.515,2.2902607490444846
1945,28659.635000000002,1.8415647353843432
1946,31425.947,1.9836415540427992
1947,35327.051999999996,2.2055959706640373
1948,37351.734,2.3084742387692865
1949,36209.233,2.1969332988669987
1950,40286.909999999996,2.399011187392501
1951,43436.224,2.538594321873882
1952,44125.325,2.5299216326024183
1953,45389.097,2.5514027164648736
1954,46607.809,2.5617308995848442
1955,51020.695999999996,2.748018362749461
1956,54354.978,2.8693765799512927
1957,56168.193,2.900896580773639
1958,57728.052,2.9229688816178574
1959,60537.606,3.0131641249845704
1960,64228.679,3.1433723026576073
1961,64667.433,3.104478551690537
1962,67143.28,3.1606899070666343
1963,70828.36,3.2609421717665943
1964,74649.535,3.360658339182377
1965,77912.097,3.4333196250186346
1966,81566.743,3.522803419006004
1967,84099.633,3.5579453993182435
1968,88681.115,3.67855574704936
1969,94523.54,3.8450891837803858
1970,102083.84,4.073726791755439
1971,106243.8,4.151930489904994
1972,111046.989,4.257699789537168
