PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,26.29,26.91,27.35,27.9,26.94,25.46,24.12,23.91,24.53,25.84,26.02,26.46,25.97
T2M,1982,26.43,26.7,27.42,27.25,26.5,23.72,22.62,22.93,23.82,24.39,25.39,25.96,25.25
T2M,1983,26.94,27.48,27.76,27.29,26.69,23.7,23.06,22.86,23.47,24.78,25.53,26.01,25.45
T2M,1984,26.23,27.18,27.22,26.94,26.19,25.9,25.11,24.66,25.09,25.47,26.07,26.28,26.02
T2M,1985,26.2,27.06,26.92,27.13,26.72,24.79,24.32,23.97,24.4,25.37,26.07,26.05,25.74
T2M,1986,26.06,27.02,27.03,27.62,26.77,24.74,23.11,23.29,24.27,24.64,25.57,25.43,25.45
T2M,1987,26.4,27.16,27.61,27.66,26.95,25.7,25.09,24.34,24.33,25.7,26.52,26.73,26.18
T2M,1988,26.9,27.45,27.62,27.83,27.51,26.18,24.64,24.37,24.89,25.67,26.23,26.19,26.28
T2M,1989,26.52,26.93,27.09,27.4,26.92,25.47,24.04,24.12,24.87,25.4,26.34,26.21,25.93
T2M,1990,26.26,27.18,27.74,28.0,27.35,25.25,23.66,23.69,24.79,25.31,26.48,26.25,25.99
T2M,1991,26.67,27.28,27.6,27.59,27.57,25.72,23.96,23.61,24.23,24.75,25.55,25.69,25.84
T2M,1992,26.42,27.15,27.19,27.21,26.45,24.63,23.27,22.69,23.61,25.27,25.8,26.18,25.48
T2M,1993,26.62,26.53,27.15,27.24,26.69,24.65,24.19,23.66,25.01,25.83,26.42,26.55,25.87
T2M,1994,26.71,26.92,27.45,27.77,27.05,24.93,23.51,23.67,23.79,25.24,26.24,26.07,25.77
T2M,1995,26.8,26.96,27.54,27.66,27.07,25.94,24.55,24.26,24.78,25.69,26.46,26.16,26.15
T2M,1996,26.21,27.02,27.07,27.54,27.5,25.96,24.18,23.0,24.04,25.09,25.26,26.0,25.73
T2M,1997,26.43,27.0,27.38,27.39,26.94,23.54,23.48,23.75,24.47,25.74,26.41,26.96,25.78
T2M,1998,27.1,28.24,28.25,28.31,27.81,26.62,24.9,24.81,25.07,25.85,26.54,26.59,26.66
T2M,1999,26.64,26.97,27.51,27.31,26.84,25.64,24.66,24.7,24.59,25.24,25.97,26.37,26.03
T2M,2000,26.55,26.82,27.7,27.09,27.24,24.69,24.0,23.66,24.54,25.23,25.84,25.91,25.77
T2M,2001,26.4,26.89,27.39,27.44,27.29,24.68,23.35,23.53,24.03,25.27,25.61,26.35,25.68
T2M,2002,26.47,27.03,27.59,27.55,27.7,25.89,24.55,24.78,24.6,25.43,25.96,26.35,26.15
T2M,2003,26.77,27.47,27.78,27.74,26.97,25.4,25.01,24.72,24.9,26.17,26.46,26.64,26.33
T2M,2004,27.19,27.66,28.04,27.3,26.48,25.08,23.94,24.42,25.34,25.89,26.51,26.58,26.2
T2M,2005,27.45,27.9,27.82,27.95,26.21,23.98,23.82,24.18,24.83,25.51,26.54,26.53,26.05
T2M,2006,26.89,27.38,27.84,27.66,27.19,26.14,24.09,23.08,24.36,25.45,26.33,26.7,26.08
T2M,2007,27.21,27.47,27.83,27.56,27.5,25.78,24.45,24.29,25.22,25.52,26.36,26.73,26.32
T2M,2008,26.8,27.56,27.55,27.42,27.32,25.66,24.42,24.89,25.42,26.13,26.64,26.84,26.38
T2M,2009,26.82,27.43,27.83,27.65,27.57,25.53,23.74,23.65,24.82,25.53,26.39,26.94,26.15
T2M,2010,27.35,28.14,28.53,28.45,27.23,24.74,23.77,23.64,24.86,26.01,26.63,26.79,26.33
T2M,2011,26.89,27.09,27.85,27.93,26.94,24.58,23.46,23.95,25.15,25.85,26.19,26.01,25.98
T2M,2012,26.46,26.48,27.64,27.76,27.24,25.36,24.11,24.27,25.01,25.78,26.43,26.65,26.1
T2M,2013,27.21,27.45,27.9,27.84,26.97,24.85,23.2,23.69,23.85,25.34,25.94,26.18,25.86
T2M,2014,26.63,27.35,27.52,27.77,27.34,25.33,23.42,23.39,24.53,25.58,25.94,26.09,25.9
T2M,2015,26.23,26.92,27.48,27.81,27.41,24.41,23.76,23.51,24.49,25.44,26.33,26.18,25.82
T2M,2016,26.97,27.47,28.37,28.17,27.56,25.68,24.81,24.66,25.35,26.15,26.81,26.76,26.56
T2M,2017,26.95,27.38,28.04,28.11,27.28,25.48,23.59,23.85,24.73,25.89,26.52,26.2,26.16
T2M,2018,26.51,27.44,27.86,27.74,27.34,25.98,24.48,24.63,25.55,26.42,26.82,26.67,26.44
T2M,2019,27.0,27.75,28.11,28.38,27.6,25.34,24.49,24.7,25.75,26.52,27.25,27.35,26.68
T2M,2020,27.76,27.86,28.45,28.23,27.87,24.99,24.3,24.02,24.36,25.54,26.44,26.74,26.38
T2M,2021,26.86,27.54,27.55,28.04,27.69,26.7,25.24,25.09,25.8,26.39,27.05,26.81,26.72
T2M,2022,27.07,27.42,27.94,27.74,27.45,25.9,24.3,23.68,25.09,26.2,26.45,26.73,26.32
T2M,2023,26.9,27.6,27.95,27.85,27.84,25.46,24.85,24.32,25.52,26.41,27.19,27.35,26.6
T2M,2024,27.96,28.52,29.22,29.12,28.22,25.61,24.41,24.46,25.32,26.2,26.74,27.13,26.9
