year,latitude,longitude,type,acq_date,frp,brightness
2012,-21.16545,-60.71665,0,2012-03-19,1.23,307.76
2012,-16.11774,136.87111,0,2012-07-18,6.09,334.07
2012,-3.43305,-59.10234,0,2012-10-09,22.71,349.33
2012,12.63402,-84.32625,0,2012-05-01,3.09,331.75
2012,23.66908,96.72040,0,2012-03-10,0.62,301.49
2012,28.72210,7.52045,2,2012-10-23,0.56,304.55
2012,-6.51273,-77.63453,0,2012-08-11,5.8,336.41
2012,34.25883,41.21276,2,2012-12-21,1.28,305.54
2012,8.25893,80.18130,0,2012-08-18,5.77,339.44
2012,-19.42384,129.95232,0,2012-08-20,1.68,320.51
2012,-7.66041,-44.46758,0,2012-08-19,4.81,347.43
2012,5.22132,28.89879,0,2012-01-30,7.9,350.97
2012,-26.45414,124.56956,0,2012-10-19,1.33,304.61
2012,8.34908,19.11261,0,2012-01-24,41.6,367
2012,-12.53352,17.47738,0,2012-09-16,2.73,336.7
2012,-6.00590,-45.70504,0,2012-08-19,5.04,333.7
2012,-26.50390,124.64581,0,2012-10-22,21.48,367
2012,-17.30143,34.97085,0,2012-09-07,14.41,345.23
2012,60.07466,82.57722,0,2012-06-22,2.28,316.48
2012,45.51952,28.42437,0,2012-03-21,4.71,348.33
2012,-15.50920,26.34865,0,2012-06-14,5.6,347.68
2012,45.38248,26.45699,0,2012-04-07,0.5,296.39
2012,61.58093,134.23334,0,2012-08-03,1.66,321.98
2012,-8.60251,25.88785,0,2012-06-15,19.62,347.49
2012,7.79203,14.96604,0,2012-12-17,9.8,347
2012,-13.22822,-74.07661,0,2012-08-13,4.25,335.53
2012,-17.77325,132.25073,0,2012-09-19,1.18,331.2
2012,27.98780,22.32159,2,2012-03-19,2.68,337.19
2012,50.73910,101.75477,0,2012-05-06,8.52,348.18
2012,-21.10766,123.43436,0,2012-06-26,3.81,337.41
2012,-13.83443,-58.27194,0,2012-08-08,15.56,356.03
2012,59.83271,-115.29759,0,2012-07-14,3.88,341.37
2012,-3.19796,15.65664,0,2012-04-24,6.78,334.73
2012,14.64842,-83.71667,0,2012-03-23,10.54,341.13
2012,-18.53267,30.35251,0,2012-08-22,0.63,303.77
2012,-13.60052,-73.19929,0,2012-10-16,12.64,346.12
2012,-11.97522,27.49097,0,2012-05-30,9.3,331.51
2012,-28.14191,-59.11180,0,2012-09-14,3.49,330.95
2012,45.06940,38.31638,0,2012-09-16,4.12,338.29
2012,-14.79397,-54.69135,0,2012-03-09,4.26,334.65
2012,-22.17697,32.95873,0,2012-07-22,6.14,346.04
2012,10.31162,12.34497,0,2012-02-03,0.99,307.07
2012,-18.22584,25.38666,0,2012-09-25,59.96,354.26
2012,18.00676,96.39778,0,2012-03-18,0.76,304.01
2012,5.12198,16.22873,0,2012-12-20,3.69,336.31
2012,-6.42328,16.47587,0,2012-08-21,34.1,332.05
2012,-15.60987,33.34769,0,2012-10-04,12.05,354.19
2012,13.68368,-13.34879,0,2012-12-17,5.01,336.7
2012,-13.05383,134.06548,0,2012-09-01,42.83,367
2012,14.82684,-11.54934,0,2012-11-03,1.99,307.74
2012,-3.99873,-43.21564,0,2012-09-28,0.9,304.09
2012,62.71131,136.44383,0,2012-07-29,1.62,306.45
