Country,Year,CO2 emission (Tons),AverageTemperature,% of World,Area
Afghanistan,1883,0.0,13.600833333333334,0.40%,652230.0
Afghanistan,1884,0.0,13.381833333333333,0.40%,652230.0
Afghanistan,1885,0.0,13.031583333333332,0.40%,652230.0
Afghanistan,1886,0.0,13.200583333333334,0.40%,652230.0
Afghanistan,1887,0.0,13.641416666666666,0.40%,652230.0
Afghanistan,1888,0.0,14.243166666666667,0.40%,652230.0
Afghanistan,1889,0.0,13.727333333333334,0.40%,652230.0
Afghanistan,1890,0.0,13.72225,0.40%,652230.0
Afghanistan,1891,0.0,13.237250000000001,0.40%,652230.0
Afghanistan,1892,0.0,14.076,0.40%,652230.0
Afghanistan,1893,0.0,13.436750000000002,0.40%,652230.0
Afghanistan,1894,0.0,13.46675,0.40%,652230.0
Afghanistan,1895,0.0,13.98175,0.40%,652230.0
Afghanistan,1896,0.0,14.09875,0.40%,652230.0
Afghanistan,1897,0.0,13.549750000000001,0.40%,652230.0
Afghanistan,1898,0.0,13.461583333333335,0.40%,652230.0
Afghanistan,1899,0.0,14.395833333333334,0.40%,652230.0
Afghanistan,1900,0.0,13.749333333333334,0.40%,652230.0
Afghanistan,1901,0.0,13.894,0.40%,652230.0
Afghanistan,1902,0.0,14.505833333333335,0.40%,652230.0
Afghanistan,1903,0.0,12.986416666666669,0.40%,652230.0
Afghanistan,1904,0.0,13.805750000000002,0.40%,652230.0
Afghanistan,1905,0.0,13.385666666666665,0.40%,652230.0
Afghanistan,1906,0.0,13.884916666666667,0.40%,652230.0
Afghanistan,1907,0.0,13.352916666666667,0.40%,652230.0
Afghanistan,1908,0.0,13.699166666666665,0.40%,652230.0
Afghanistan,1909,0.0,13.925416666666669,0.40%,652230.0
Afghanistan,1910,0.0,13.216500000000002,0.40%,652230.0
Afghanistan,1911,0.0,13.385,0.40%,652230.0
Afghanistan,1912,0.0,13.902666666666667,0.40%,652230.0
Afghanistan,1913,0.0,13.859250000000001,0.40%,652230.0
Afghanistan,1914,0.0,14.296833333333334,0.40%,652230.0
Afghanistan,1915,0.0,14.914583333333333,0.40%,652230.0
Afghanistan,1916,0.0,13.343000000000002,0.40%,652230.0
Afghanistan,1917,0.0,13.916500000000001,0.40%,652230.0
Afghanistan,1918,0.0,13.48325,0.40%,652230.0
Afghanistan,1919,0.0,13.880916666666666,0.40%,652230.0
Afghanistan,1920,0.0,13.036500000000002,0.40%,652230.0
Afghanistan,1921,0.0,14.171583333333333,0.40%,652230.0
Afghanistan,1922,0.0,14.2555,0.40%,652230.0
Afghanistan,1923,0.0,13.338916666666668,0.40%,652230.0
Afghanistan,1924,0.0,13.629,0.40%,652230.0
Afghanistan,1925,0.0,13.931750000000001,0.40%,652230.0
Afghanistan,1926,0.0,13.745333333333333,0.40%,652230.0
Afghanistan,1927,0.0,13.844583333333333,0.40%,652230.0
Afghanistan,1928,0.0,13.633000000000001,0.40%,652230.0
Afghanistan,1929,0.0,13.48175,0.40%,652230.0
Afghanistan,1930,0.0,13.330583333333335,0.40%,652230.0
Afghanistan,1931,0.0,13.4475,0.40%,652230.0
Afghanistan,1932,0.0,13.664666666666667,0.40%,652230.0
Afghanistan,1933,0.0,13.882916666666667,0.40%,652230.0
Afghanistan,1934,0.0,13.341416666666667,0.40%,652230.0
Afghanistan,1935,0.0,13.29625,0.40%,652230.0
Afghanistan,1936,0.0,14.007416666666666,0.40%,652230.0
Afghanistan,1937,0.0,13.571583333333335,0.40%,652230.0
Afghanistan,1938,0.0,14.21125,0.40%,652230.0
Afghanistan,1939,0.0,14.161916666666668,0.40%,652230.0
Afghanistan,1940,0.0,14.734,0.40%,652230.0
Afghanistan,1941,0.0,15.502749999999999,0.40%,652230.0
Afghanistan,1942,0.0,14.451166666666667,0.40%,652230.0
Afghanistan,1943,0.0,13.707833333333333,0.40%,652230.0
Afghanistan,1944,0.0,14.29175,0.40%,652230.0
Afghanistan,1945,0.0,13.86625,0.40%,652230.0
Afghanistan,1946,0.0,14.594666666666667,0.40%,652230.0
Afghanistan,1947,0.0,15.035083333333333,0.40%,652230.0
Afghanistan,1948,0.0,14.33525,0.40%,652230.0
Afghanistan,1949,14656.0,13.350083333333332,0.40%,652230.0
Afghanistan,1950,98928.0,13.0435,0.40%,652230.0
Afghanistan,1951,190528.0,13.96775,0.40%,652230.0
Afghanistan,1952,282128.0,14.175416666666669,0.40%,652230.0
Afghanistan,1953,388384.0,14.65075,0.40%,652230.0
Afghanistan,1954,494640.0,13.691333333333333,0.40%,652230.0
Afghanistan,1955,648528.0,14.642583333333334,0.40%,652230.0
Afghanistan,1956,831728.0,14.191083333333333,0.40%,652230.0
Afghanistan,1957,1124848.0,12.777166666666666,0.40%,652230.0
Afghanistan,1958,1454608.0,14.71675,0.40%,652230.0
Afghanistan,1959,1839179.0,14.152583333333334,0.40%,652230.0
Afghanistan,1960,2253064.0,13.985416666666666,0.40%,652230.0
Afghanistan,1961,2743862.0,14.064916666666667,0.40%,652230.0
Afghanistan,1962,3432456.0,13.768666666666666,0.40%,652230.0
Afghanistan,1963,4139192.0,15.033416666666668,0.40%,652230.0
Afghanistan,1964,4977743.0,13.084916666666667,0.40%,652230.0
Afghanistan,1965,5984660.0,14.101833333333333,0.40%,652230.0
Afghanistan,1966,7075819.0,14.343000000000002,0.40%,652230.0
Afghanistan,1967,8357684.0,13.66325,0.40%,652230.0
Afghanistan,1968,9581075.0,13.762333333333332,0.40%,652230.0
Afghanistan,1969,10522307.0,13.805083333333334,0.40%,652230.0
Afghanistan,1970,12192704.0,14.783083333333332,0.40%,652230.0
Afghanistan,1971,14086258.0,14.823500000000001,0.40%,652230.0
Afghanistan,1972,15616605.0,12.547166666666667,0.40%,652230.0
Afghanistan,1973,17252059.0,14.235500000000002,0.40%,652230.0
Afghanistan,1974,19165211.0,13.316749999999999,0.40%,652230.0
Afghanistan,1975,21286594.0,13.548083333333333,0.40%,652230.0
Afghanistan,1976,23267453.0,13.708583333333335,0.40%,652230.0
Afghanistan,1977,25651628.0,14.805416666666666,0.40%,652230.0
Afghanistan,1978,27804928.0,14.329666666666666,0.40%,652230.0
Afghanistan,1979,30037682.0,14.262083333333335,0.40%,652230.0
Afghanistan,1980,31793984.0,14.887333333333332,0.40%,652230.0
Afghanistan,1981,33772447.0,14.860083333333334,0.40%,652230.0
Afghanistan,1982,35867028.0,13.733083333333333,0.40%,652230.0
Afghanistan,1983,38386982.0,14.614833333333335,0.40%,652230.0
Afghanistan,1984,41208522.0,14.245833333333335,0.40%,652230.0
Afghanistan,1985,44709944.0,14.88875,0.40%,652230.0
Afghanistan,1986,47843589.0,14.22316666666667,0.40%,652230.0
Afghanistan,1987,50957415.0,14.984,0.40%,652230.0
Afghanistan,1988,53814311.0,15.389000000000001,0.40%,652230.0
