word,frequency,sentiment
fire,457,-0.34
northern,114,0.0
californias,110,0.0
victims,76,-0.3182
wine,71,0.0
news,61,0.0
deadly,54,0.0
country,51,0.0
help,49,0.4019
home,49,0.0
fires,47,0.0
via,42,0.0
now,38,0.0
people,38,0.0
video,36,0.0
dead,35,-0.6486
new,34,0.0
family,33,0.0
dog,31,0.0
amp,30,0.0
us,30,0.0
santa,29,0.0
relief,29,0.4767
smoke,28,0.0
firefighters,27,0.0
weather,26,0.0
toll,26,0.0
destroyed,26,-0.4939
will,26,0.0
trump,25,0.0
photos,25,0.0
just,24,0.0
napa,24,0.0
devastating,24,-0.6486
killed,23,-0.6705
southern,23,0.0
cannabis,23,0.0
show,22,0.0
can,22,0.0
still,22,0.0
like,22,0.3612
photo,22,0.0
one,21,0.0
sonoma,21,0.0
crews,21,0.0
today,20,0.0
images,20,0.0
watch,19,0.0
death,19,-0.5994
burns,19,0.0
burned,19,0.0
couple,18,0.0
pgampe,18,0.0
lost,18,-0.3182
leave,18,-0.0516
raging,17,-0.5267
among,17,0.0
winds,17,0.0
state,17,0.0
says,17,0.0
affected,17,-0.1531
amid,17,0.0
shows,17,0.0
santarosa,17,0.0
least,16,0.0
left,16,0.0
aid,16,0.0
space,16,0.0
marijuana,16,0.0
damage,16,-0.4939
across,16,0.0
rosa,16,0.0
bay,16,0.0
go,15,0.0
fighting,15,-0.3612
latest,15,0.0
battle,15,-0.3818
homes,15,0.0
evacuees,15,0.0
aftermath,15,0.0
residents,15,0.0
seen,14,0.0
burn,14,0.0
right,14,0.0
usa,14,0.0
missing,14,-0.296
insurance,14,0.0
devastation,14,-0.4215
week,14,0.0
story,14,0.0
near,14,0.0
flames,14,0.0
area,13,0.0
brush,13,0.0
emergency,13,-0.3818
tonight,13,0.0
red,13,0.0
north,13,0.0
ravaged,13,0.0
forest,13,0.0
destruction,13,-0.5719
next,13,0.0
county,13,0.0
thousands,13,0.0
rain,13,0.0
burning,12,0.0
fight,12,-0.3818
escaping,12,0.0516
update,12,0.0
behind,12,0.0
say,12,0.0
woman,12,0.0
nasa,12,0.0
animals,12,0.0
helping,12,0.296
billion,12,0.0
back,12,0.0
get,12,0.0
disaster,12,-0.6249
risk,12,-0.2732
evacuation,12,0.0
ca,12,0.0
losses,12,-0.4019
massive,12,0.0
years,11,0.0
support,11,0.4019
health,11,0.0
find,11,0.0
ravage,11,0.0
live,11,0.0
response,11,0.0
industry,11,0.0
air,11,0.0
house,11,0.0
climate,11,0.0
make,11,0.0
usrc,11,0.0
worse,11,-0.4767
evacuations,11,0.0
map,11,0.0
got,11,0.0
hit,10,0.0
even,10,0.0
man,10,0.0
oak,10,0.0
efforts,10,0.0
illegal,10,-0.5574
disneyland,10,0.0
expected,10,0.0
san,10,0.0
footage,10,0.0
kill,10,-0.6908
satellite,10,0.0
californiawildfires,10,0.0
destroy,10,-0.5423
survivors,10,0.0
city,10,0.0
know,10,0.0
continue,10,0.0
day,10,0.0
tubbs,10,0.0
station,10,0.0
return,10,0.0
caused,10,0.0
drone,10,0.0
started,9,0.0
may,9,0.0
dozens,9,0.0
recovery,9,0.0
takes,9,0.0
impacted,9,0.0
safe,9,0.4404
gets,9,0.0
save,9,0.4939
rage,9,-0.5574
oct,9,0.0
power,9,0.0
wild,9,0.0
grove,9,0.0
conditions,9,0.0
world,9,0.0
housing,9,0.0
due,9,0.0
days,9,0.0
evacuated,9,0.0
full,9,0.0
crew,9,0.0
blazes,9,0.0
escape,9,0.1779
community,9,0.0
blaze,9,0.0
trees,9,0.0
washington,9,0.0
acres,9,0.0
fleeing,9,0.0
battling,9,-0.2732
evacuate,8,0.0
night,8,0.0
heat,8,0.0
trying,8,0.0
survived,8,0.5106
loss,8,-0.3182
benefit,8,0.4588
need,8,0.0
ash,8,0.0
cruz,8,0.0
shares,8,0.296
alive,8,0.3818
canyon,8,0.0
dont,8,0.0
damages,8,-0.4404
displaced,8,0.0
history,8,0.0
usnews,8,0.0
getting,8,0.0
goats,8,0.0
neighborhoods,8,0.0
portugal,8,0.0
event,8,0.0
tubbsfire,8,0.0
rises,8,0.0
loses,8,-0.3182
million,8,0.0
devastated,8,-0.6124
two,8,0.0
looks,7,0.0
force,7,0.0
public,7,0.0
share,7,0.296
together,7,0.0
image,7,0.0
helps,7,0.3818
yet,7,0.0
starting,7,0.0
town,7,0.0
another,7,0.0
beautiful,7,0.5994
time,7,0.0
areas,7,0.0
heres,7,0.0
crops,7,0.0
please,7,0.3182
claim,7,0.0
updates,7,0.0
keep,7,0.0
destructive,7,-0.6124
native,7,0.0
care,7,0.4939
videos,7,0.0
farms,7,0.0
pot,7,0.0
set,7,0.0
cross,7,0.0
click,7,0.0
travel,7,0.0
reuters,7,0.0
spain,7,0.0
hope,7,0.4404
local,7,0.0
abc,7,0.0
daily,7,0.0
hot,7,0.0
buildings,7,0.0
foxnews,7,0.0
wineries,7,0.0
structures,7,0.0
fox,7,0.0
finds,7,0.0
weed,7,0.0
details,7,0.0
escapes,7,0.128
american,6,0.0
media,6,0.0
caught,6,0.0
rise,6,0.0
