,year,type,count
0,2012,0,19503040
1,2012,1,20953
2,2012,2,1300566
3,2012,3,143892
4,2013,0,17875225
5,2013,1,23090
6,2013,2,1348256
7,2013,3,158075
8,2014,0,18847252
9,2014,1,27375
10,2014,2,1245267
11,2014,3,194652
12,2015,0,20026487
13,2015,1,30366
14,2015,2,1237209
15,2015,3,157695
16,2016,0,18899034
17,2016,1,28752
18,2016,2,1284168
19,2016,3,146176
20,2017,0,18583192
21,2017,1,28279
22,2017,2,1318994
23,2017,3,157048
24,2018,0,17676306
25,2018,1,20954
26,2018,2,1327777
27,2018,3,145156
28,2019,0,19605695
29,2019,1,18812
30,2019,2,1326206
31,2019,3,144437
32,2020,0,19322337
33,2020,1,18068
34,2020,2,1237285
35,2020,3,141628
36,2021,0,18887337
37,2021,1,16413
38,2021,2,1298250
39,2021,3,145758
40,2022,0,15907039
41,2022,1,21258
42,2022,2,1202734
43,2022,3,120815
44,2023,0,20368212
45,2023,1,21227
46,2023,2,1293068
47,2023,3,159521
48,2024,0,19720147
49,2024,1,15368
50,2024,2,1192204
51,2024,3,137140
52,2025,0,15054086
53,2025,1,29844
54,2025,2,1102942
55,2025,3,133358
