-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2024 in LST
Location: Latitude  0.0   Longitude 0.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1981,4.64,2.01,3.98,3.41,2.3,0.44,0.39,0.24,0.26,1.2,3.62,1.56,2.0
PRECTOTCORR,1982,3.1,3.53,3.98,4.38,1.21,0.19,0.23,0.12,0.17,0.5,1.99,2.46,1.81
PRECTOTCORR,1983,0.96,1.18,2.39,2.05,0.5,0.51,0.35,0.14,0.36,1.24,1.11,1.61,1.03
PRECTOTCORR,1984,1.2,2.39,2.95,3.45,2.68,1.41,0.46,0.76,1.28,2.38,2.57,1.1,1.88
PRECTOTCORR,1985,3.38,1.57,4.71,2.82,4.94,0.15,0.58,0.39,0.59,1.98,1.96,5.52,2.4
PRECTOTCORR,1986,2.76,2.93,5.45,4.41,1.94,0.65,0.11,0.06,0.1,0.35,0.86,2.06,1.8
PRECTOTCORR,1987,1.26,1.46,4.76,1.76,1.74,0.43,0.21,0.87,0.21,0.51,0.62,1.94,1.32
PRECTOTCORR,1988,4.45,4.06,4.79,6.66,4.95,1.53,0.18,0.04,0.18,1.37,1.89,3.52,2.8
PRECTOTCORR,1989,2.94,1.89,3.15,7.31,6.38,0.52,0.11,0.15,0.2,1.38,1.71,1.34,2.26
PRECTOTCORR,1990,2.44,2.57,3.52,6.98,3.97,0.52,0.18,0.37,0.27,0.42,0.84,1.8,1.98
PRECTOTCORR,1991,3.69,5.43,4.08,4.59,4.71,5.09,0.38,0.09,0.25,0.49,1.31,2.41,2.69
PRECTOTCORR,1992,1.8,1.47,7.16,3.36,1.25,0.21,0.16,0.1,0.12,0.3,1.64,2.31,1.66
PRECTOTCORR,1993,3.34,3.69,4.06,3.15,2.14,0.28,0.13,0.2,0.58,2.54,3.41,3.29,2.23
PRECTOTCORR,1994,3.33,1.5,3.61,4.03,3.76,0.24,0.09,0.06,0.06,0.83,1.01,3.48,1.84
PRECTOTCORR,1995,5.01,3.31,3.17,5.72,4.61,1.04,0.11,0.17,0.3,1.45,1.73,4.46,2.59
PRECTOTCORR,1996,3.14,2.76,5.87,5.31,6.97,0.24,0.08,0.09,0.04,0.3,2.14,1.27,2.35
PRECTOTCORR,1997,1.51,2.03,4.77,4.96,2.89,0.24,0.17,0.14,0.12,0.31,2.93,2.45,1.87
PRECTOTCORR,1998,4.05,0.77,3.31,3.81,3.15,0.69,0.25,0.15,0.2,0.89,2.12,1.86,1.78
PRECTOTCORR,1999,2.24,3.34,6.31,5.34,7.14,1.31,0.36,0.34,0.22,0.27,2.73,2.46,2.67
PRECTOTCORR,2000,5.29,2.63,3.62,5.78,2.99,0.41,0.06,0.08,0.17,0.5,1.24,2.05,2.07
PRECTOTCORR,2001,2.42,1.69,3.95,5.51,4.81,0.6,0.06,0.08,0.11,0.25,0.63,0.68,1.73
PRECTOTCORR,2002,2.9,1.72,2.99,8.45,4.22,1.12,0.12,0.12,0.07,1.0,2.19,2.7,2.3
PRECTOTCORR,2003,3.01,3.1,3.1,3.82,2.01,0.87,0.07,0.05,0.11,0.48,3.36,4.02,1.99
